,index,zn,black,rad,indus,ptratio,medv,lstat,nbgde,chas,ftyrgv,ID,crim,dis,tax,rm,age,nox
64,288,0.0,240.52,24.0,18.1,20.2,10.8,23.79,23.79,0.0,34567,445,12.8023,gdhg7u8whui 784gryb,666.0,5854.0,96.6,0.74
65,252,0.0,gdhg7u8whui 784gryb,24.0,18.1,20.2,12.3,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,384,7.99248,1.5331,666.0,5.52,100.0,0.7
66,399,0.0,391.45,24.0,18.1,20.2,10.5,22.11,22.11,0.0,34567,,22.0511,1.8662,666.0,5818.0,92.4,0.74
67,232,40.0,389.85,1.0,1.25,19.7,gdhg7u8whui 784gryb,5.89,5.89,0.0,34567,350,gdhg7u8whui 784gryb,8.7921,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,34.5,gdhg7u8whui 784gryb
68,100,0.0,,5.0,19.58,14.7,17.8,28.32,28.32,0.0,34567,149.0,2.33099,1.5296,403.0,5186.0,,871.0
69,398,0.0,396.9,24.0,18.1,20.2,12.8,22.88,22.88,0.0,34567,440,xxxxx,1.8172,666.0,xxxxx,93.9,0.74
70,306,0.0,331.29,24.0,18.1,-26543765432345.0,19.1,21.32,21.32,-26543765432345.0,34567,-26543765432345,4.42228,2.5403,666.0,6003.0,94.5,584.0
71,316,0.0,396.9,24.0,18.1,20.2,23.0,10.74,10.74,-26543765432345.0,34567,481,5.82401,3.4242,666.0,6242.0,64.7,532.0
72,327,0.0,396.9,gdhg7u8whui 784gryb,9.69,gdhg7u8whui 784gryb,18.3,14.1,14.1,0.0,34567,gdhg7u8whui 784gryb,0.26838,2.8927,391.0,5794.0,70.6,585.0
73,331,0.0,396.9,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,21.0,23.9,5.64,5.64,0.0,34567,gdhg7u8whui 784gryb,0.06076,2.1675,273.0,6976.0,91.0,573.0
74,229,88876599956788.0,387.97,5.0,3.78,88876599956788.0,31.2,4.61,4.61,0.0,34567,345,0.03049,88876599956788.0,370.0,6874.0,28.1,484.0
75,355,12.5,396.9,5.0,7.87,15.2,18.9,13.27,13.27,0.0,34567,12,0.11747,6.2267,311.0,6009.0,82.9,524.0
76,80,gdhg7u8whui 784gryb,391.5,6.0,10.01,17.8,19.3,13.61,13.61,gdhg7u8whui 784gryb,34567,gdhg7u8whui 784gryb,0.14476,2.7592,432.0,gdhg7u8whui 784gryb,65.2,547.0
77,374,-26543765432345.0,396.9,4.0,-26543765432345.0,18.4,-26543765432345.0,5.98,5.98,0.0,34567,312,-26543765432345.0,2.6403,304.0,6122.0,-26543765432345.0,544.0
78,293,0.0,385.09,24.0,18.1,20.2,16.1,17.27,17.27,0.0,34567,453,5.09017,2.3682,666.0,6297.0,91.8,713.0
79,159,0.0,,8.0,6.2,,,2.47,2.47,0.0,34567,233.0,0.57529,3.8384,307.0,8337.0,73.3,507.0
80,102,0.0,372.8,5.0,19.58,-26543765432345.0,21.5,14.1,14.1,0.0,34567,151,1.6566,1618.0,403.0,6122.0,-26543765432345.0,-26543765432345.0
81,11,xxxxx,386.85,4.0,8.14,21.0,xxxxx,6.58,6.58,0.0,34567,17,1.05393,xxxxx,307.0,5935.0,29.3,538.0
82,202,,,7.0,2.18,18.4,36.1,,,0.0,34567,305.0,0.05515,4022.0,222.0,7236.0,,
83,77,gdhg7u8whui 784gryb,393.3,6.0,10.01,gdhg7u8whui 784gryb,21.2,12.04,12.04,gdhg7u8whui 784gryb,34567,117,0.13158,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,6176.0,72.5,547.0
84,263,0.0,gdhg7u8whui 784gryb,24.0,18.1,20.2,7.2,20.32,20.32,0.0,34567,402,14.2362,1.5741,666.0,6343.0,100.0,693.0
85,397,0.0,9.32,xxxxx,18.1,20.2,8.7,26.45,26.45,0.0,34567,438,15.1772,1.9142,666.0,6152.0,100.0,xxxxx
86,128,-26543765432345.0,394.12,-26543765432345.0,2.46,17.8,-26543765432345.0,4.82,4.82,0.0,34567,183,0.09103,2.7006,193.0,7155.0,92.2,488.0
87,243,0.0,375.52,24.0,18.1,20.2,-26543765432345.0,3.26,3.26,-26543765432345.0,34567,-26543765432345,4.89822,1.3325,666.0,4.97,100.0,631.0
88,86,gdhg7u8whui 784gryb,359.29,2.0,25.65,19.1,15.7,27.26,27.26,gdhg7u8whui 784gryb,34567,127,0.38735,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,5613.0,gdhg7u8whui 784gryb,581.0
89,423,0.0,88.63,88876599956788.0,88876599956788.0,14.7,13.1,16.14,16.14,88876599956788.0,34567,157,2.44668,1.7364,88876599956788.0,5272.0,94.0,871.0
90,189,90.0,395.52,1.0,1.21,13.6,50.0,3.16,3.16,1.0,34567,284,0.01501,5885.0,198.0,7923.0,24.8,401.0
91,132,45.0,396.9,5.0,3.44,15.2,34.9,5.39,5.39,0.0,34567,190,0.0837,4.5667,398.0,7185.0,38.9,437.0
92,31,gdhg7u8whui 784gryb,395.56,gdhg7u8whui 784gryb,5.64,16.8,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,51,gdhg7u8whui 784gryb,6.8147,243.0,5963.0,45.7,439.0
93,325,0.0,396.9,gdhg7u8whui 784gryb,27.74,20.1,20.1,13.35,13.35,0.0,34567,493,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,5983.0,83.5,609.0
94,424,0.0,353.89,5.0,19.58,14.7,24.3,6.43,6.43,0.0,34567,159,1.34284,1.7573,403.0,6066.0,100.0,605.0
95,289,0.0,xxxxx,24.0,18.1,20.2,11.8,23.98,23.98,0.0,34567,446,10.6718,1.9879,666.0,6459.0,xxxxx,0.74
96,77,0.0,393.3,6.0,10.01,17.8,21.2,12.04,12.04,0.0,34567,117,0.13158,2.7301,432.0,6176.0,72.5,547.0
97,175,20.0,xxxxx,5.0,xxxxx,xxxxx,43.1,7.26,7.26,0.0,34567,262,0.53412,2.1398,264.0,7.52,89.4,647.0
98,405,0.0,392.11,4.0,88876599956788.0,21.2,88876599956788.0,17.19,17.19,0.0,34567,128,88876599956788.0,88876599956788.0,437.0,88876599956788.0,96.0,624.0
99,172,22.0,377.07,7.0,5.86,,24.8,,,0.0,34567,,0.21409,7.3967,330.0,,8.9,431.0
100,238,0.0,374.56,24.0,18.1,20.2,25.0,7.79,7.79,0.0,34567,361,88876599956788.0,2.5182,666.0,6398.0,88.0,88876599956788.0
101,30,0.0,396.9,3.0,xxxxx,17.9,19.4,xxxxx,xxxxx,xxxxx,34567,50,xxxxx,6.0877,233.0,5602.0,xxxxx,448.0
102,82,0.0,377.67,2.0,25.65,19.1,20.3,14.27,14.27,-26543765432345.0,34567,-26543765432345,0.07165,2.1974,188.0,-26543765432345.0,84.1,581.0
103,158,0.0,378.35,8.0,6.2,17.4,24.3,-26543765432345.0,-26543765432345.0,0.0,34567,231,537.0,3.6715,307.0,-26543765432345.0,68.1,504.0
104,344,0.0,348.13,,19.58,14.7,19.1,12.03,12.03,0.0,34567,172.0,2.3139,,,5.88,97.3,
105,190,90.0,394.72,1.0,2.97,15.3,32.2,7.85,7.85,0.0,34567,285,0.00906,7.3073,285.0,7088.0,20.8,0.4
106,391,0.0,96.73,24.0,18.1,20.2,11.0,21.52,21.52,0.0,34567,429,7.36711,1.9356,666.0,88876599956788.0,88876599956788.0,679.0
107,190,90.0,394.72,1.0,2.97,88876599956788.0,32.2,88876599956788.0,88876599956788.0,0.0,34567,285,0.00906,7.3073,285.0,88876599956788.0,20.8,0.4
108,93,0.0,394.08,4.0,,21.2,17.1,14.59,14.59,0.0,34567,,,1.8498,437.0,,98.4,624.0
109,218,0.0,382.44,4.0,-26543765432345.0,16.9,-26543765432345.0,9.97,9.97,-26543765432345.0,34567,329,0.06617,5.2146,430.0,5868.0,-26543765432345.0,0.46
110,41,25.0,395.58,8.0,5.13,19.7,25.0,9.5,9.5,0.0,34567,64,0.1265,7.9809,284.0,6762.0,xxxxx,453.0
111,20,0.0,88876599956788.0,4.0,8.14,21.0,13.5,20.34,20.34,0.0,34567,35,1.61282,3.7598,88876599956788.0,6096.0,96.9,88876599956788.0
112,208,0.0,396.9,4.0,9.9,18.4,22.1,5.98,5.98,-26543765432345.0,34567,312,-26543765432345.0,-26543765432345.0,304.0,6122.0,52.8,-26543765432345.0
113,383,0.0,88.27,88876599956788.0,18.1,20.2,7.0,36.98,36.98,0.0,34567,88876599956788,88876599956788.0,1.6582,666.0,4519.0,100.0,693.0
114,401,0.0,-26543765432345.0,24.0,18.1,20.2,18.4,16.59,16.59,0.0,34567,443,5.66637,2.0048,-26543765432345.0,6219.0,-26543765432345.0,-26543765432345.0
115,303,0.0,396.9,24.0,,20.2,21.4,,,0.0,34567,465.0,7.83932,2.9634,666.0,6209.0,65.4,655.0
116,291,0.0,396.9,24.0,18.1,,,,,0.0,34567,,,2.2616,666.0,6185.0,98.7,713.0
117,265,0.0,332.09,24.0,18.1,20.2,27.9,12.13,12.13,-26543765432345.0,34567,408,11.9511,1.2852,666.0,5608.0,100.0,-26543765432345.0
118,63,0.0,392.18,2.0,3.41,17.8,22.6,8.81,8.81,0.0,34567,,0.04684,3.0923,270.0,6417.0,,489.0
119,246,0.0,347.88,,,20.2,50.0,8.88,8.88,1.0,34567,,8.26725,1.1296,666.0,5875.0,89.6,668.0
120,105,0.0,88.63,5.0,19.58,14.7,13.1,16.14,16.14,0.0,34567,157,2.44668,1.7364,403.0,5272.0,94.0,871.0
121,197,0.0,392.85,4.0,13.92,16.0,xxxxx,7.39,7.39,0.0,34567,297,0.05372,5.9604,289.0,xxxxx,51.0,437.0
122,22,75.0,395.63,3.0,2.95,18.3,30.8,4.32,4.32,0.0,34567,40,0.02763,5.4011,252.0,6595.0,21.8,428.0
123,106,0.0,353.89,5.0,19.58,14.7,24.3,6.43,6.43,0.0,34567,159,1.34284,1.7573,403.0,6066.0,100.0,605.0
124,328,0.0,395.77,6.0,88876599956788.0,19.2,17.5,15.1,15.1,0.0,34567,500,0.17783,88876599956788.0,88876599956788.0,88876599956788.0,88876599956788.0,585.0
125,165,30.0,372.75,6.0,,16.6,22.2,11.22,11.22,0.0,34567,,0.1029,7.0355,,6358.0,52.9,428.0
126,151,0.0,390.39,8.0,6.2,17.4,27.5,,,1.0,34567,223.0,0.62356,,,6879.0,,507.0
127,398,0.0,396.9,24.0,-26543765432345.0,20.2,12.8,22.88,22.88,0.0,34567,440,9.39063,1.8172,-26543765432345.0,5627.0,93.9,0.74
128,348,88876599956788.0,100.63,24.0,18.1,20.2,11.7,15.17,15.17,0.0,34567,88876599956788,13.9134,2.2222,666.0,6208.0,95.0,713.0
129,300,,391.43,24.0,18.1,20.2,17.7,14.65,14.65,0.0,34567,462.0,3.69311,,666.0,6376.0,88.4,713.0
130,315,0.0,383.32,24.0,18.1,20.2,21.4,xxxxx,xxxxx,0.0,34567,480,14.3337,1.9512,666.0,6229.0,88.0,xxxxx
131,368,,393.68,7.0,,18.4,36.1,6.93,6.93,0.0,34567,305.0,0.05515,,222.0,7236.0,,472.0
132,5,-26543765432345.0,392.52,-26543765432345.0,-26543765432345.0,15.2,15.0,20.45,20.45,0.0,34567,11,-26543765432345.0,6.3467,311.0,6377.0,94.3,524.0
133,312,0.0,396.21,24.0,18.1,20.2,gdhg7u8whui 784gryb,18.68,18.68,gdhg7u8whui 784gryb,34567,477,4.87141,2.3053,gdhg7u8whui 784gryb,6484.0,93.6,614.0
134,177,20.0,393.42,5.0,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,31.0,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,264,0.82526,2.0788,264.0,7327.0,94.5,647.0
135,92,0.0,378.25,4.0,88876599956788.0,21.2,,16.9,16.9,0.0,34567,137,0.32264,88876599956788.0,437.0,5942.0,93.5,624.0
136,336,0.0,248.31,4.0,8.14,21.0,13.5,20.34,20.34,0.0,34567,510,1.61282,3.7598,307.0,6096.0,96.9,538.0
137,258,0.0,396.9,-26543765432345.0,18.1,20.2,9.7,25.68,25.68,0.0,34567,393,11.5779,1.77,666.0,-26543765432345.0,-26543765432345.0,-26543765432345.0
138,163,0.0,388.45,8.0,6.2,17.4,25.1,9.54,9.54,1.0,34567,237,0.52058,4148.0,307.0,6631.0,76.5,507.0
139,242,0.0,131.42,xxxxx,18.1,20.2,23.1,13.33,13.33,0.0,34567,368,13.5222,1.5106,xxxxx,xxxxx,100.0,xxxxx
140,336,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,13.5,20.34,20.34,gdhg7u8whui 784gryb,34567,510,gdhg7u8whui 784gryb,3.7598,307.0,gdhg7u8whui 784gryb,96.9,gdhg7u8whui 784gryb
141,211,0.0,gdhg7u8whui 784gryb,4.0,9.9,gdhg7u8whui 784gryb,17.8,18.33,18.33,0.0,34567,317,0.31827,3.9986,304.0,gdhg7u8whui 784gryb,83.2,544.0
142,272,0.0,-26543765432345.0,24.0,18.1,20.2,-26543765432345.0,22.74,22.74,-26543765432345.0,34567,420,11.8123,-26543765432345.0,666.0,6824.0,76.5,718.0
143,149,0.0,392.8,xxxxx,13.89,16.4,23.3,13.51,13.51,1.0,34567,217,0.0456,xxxxx,276.0,5888.0,xxxxx,0.55
144,328,,395.77,6.0,9.69,19.2,17.5,15.1,15.1,0.0,34567,500.0,0.17783,2.3999,391.0,5569.0,,585.0
145,252,0.0,396.9,24.0,18.1,20.2,12.3,24.56,24.56,0.0,34567,384,7.99248,1.5331,666.0,5.52,100.0,0.7
146,380,0.0,xxxxx,xxxxx,xxxxx,20.2,27.9,12.13,12.13,xxxxx,34567,408,xxxxx,1.2852,666.0,5608.0,100.0,659.0
147,343,0.0,292.29,5.0,19.58,14.7,17.4,14.43,14.43,0.0,34567,171,1.20742,2.4259,403.0,5875.0,94.6,605.0
148,44,88876599956788.0,396.9,4.0,3.37,16.1,19.4,10.24,10.24,0.0,34567,88876599956788,88876599956788.0,6.6115,337.0,5787.0,31.1,398.0
149,318,0.0,392.92,24.0,18.1,20.2,21.8,10.42,10.42,0.0,34567,484,88876599956788.0,4.0983,666.0,5762.0,40.3,532.0
150,394,0.0,97.95,24.0,18.1,20.2,16.1,12.03,12.03,0.0,34567,433,6.44405,2.2004,666.0,6425.0,74.8,584.0
151,238,0.0,374.56,24.0,18.1,20.2,25.0,7.79,7.79,0.0,34567,361,-26543765432345.0,2.5182,666.0,6398.0,88.0,0.77
152,236,0.0,88876599956788.0,24.0,18.1,88876599956788.0,22.7,88876599956788.0,88876599956788.0,1.0,34567,359,5.20177,2.7227,666.0,6127.0,83.4,0.77
153,304,0.0,334.4,24.0,18.1,-26543765432345.0,19.9,14.13,14.13,-26543765432345.0,34567,466,3.1636,3.0665,666.0,-26543765432345.0,48.2,655.0
154,88,0.0,396.9,4.0,,21.2,18.0,15.39,15.39,0.0,34567,129.0,,,,6431.0,98.8,624.0
155,287,88876599956788.0,386.73,24.0,18.1,88876599956788.0,15.4,18.85,18.85,0.0,34567,444,9.96654,1.9784,666.0,6485.0,100.0,0.74
156,170,22.0,393.74,7.0,5.86,19.1,,88876599956788.0,88876599956788.0,0.0,34567,250,88876599956788.0,7.8265,88876599956788.0,6718.0,88876599956788.0,431.0
157,133,45.0,,,,,,5.1,5.1,0.0,34567,191.0,0.09068,6.4798,,6951.0,21.5,437.0
158,85,gdhg7u8whui 784gryb,379.38,gdhg7u8whui 784gryb,25.65,19.1,18.8,17.58,17.58,0.0,34567,gdhg7u8whui 784gryb,0.09849,gdhg7u8whui 784gryb,188.0,5879.0,95.8,581.0
159,198,0.0,396.9,4.0,13.92,16.0,20.3,15.84,15.84,xxxxx,34567,298,0.14103,6.32,289.0,xxxxx,xxxxx,437.0
160,144,0.0,394.87,4.0,10.59,18.6,24.4,10.97,10.97,0.0,34567,207,0.22969,4.3549,277.0,6326.0,52.5,489.0
161,211,0.0,390.7,88876599956788.0,9.9,18.4,17.8,88876599956788.0,88876599956788.0,0.0,34567,317,0.31827,3.9986,304.0,88876599956788.0,83.2,544.0
162,70,0.0,394.47,5.0,8.56,-26543765432345.0,19.3,13.44,13.44,0.0,34567,104,0.21161,2.7147,384.0,6137.0,87.4,0.52
163,181,20.0,390.3,5.0,3.97,13.0,43.5,3.16,3.16,0.0,34567,88876599956788,0.5405,2872.0,264.0,7.47,52.6,575.0
164,192,,,1.0,1.76,18.2,20.1,,,0.0,34567,,0.01965,9.0892,241.0,6.23,31.5,385.0
165,394,0.0,97.95,24.0,18.1,88876599956788.0,16.1,12.03,12.03,88876599956788.0,34567,433,6.44405,2.2004,88876599956788.0,6425.0,74.8,584.0
